book,seeing_ref,seeing_terms,seeing_lemmas,taking_ref,taking_terms,taking_lemmas,verse_distance,tier,has_desire,desire_in_span,nasa_lift_eyes_idiom,category
Genesis,Genesis 2:19,ra'ah רָאָה [לִ/רְא֖וֹת],7200,Genesis 2:15,laqach לָקַח [וַ/יִּקַּ֛ח],3947,4,3,False,,False,
Genesis,Genesis 2:19,ra'ah רָאָה [לִ/רְא֖וֹת],7200,Genesis 2:21,laqach לָקַח [וַ/יִּקַּ֗ח],3947,2,2,False,,False,
Genesis,Genesis 2:19,ra'ah רָאָה [לִ/רְא֖וֹת],7200,Genesis 2:22,laqach לָקַח [לָקַ֥ח],3947,3,3,False,,False,
Genesis,Genesis 2:19,ra'ah רָאָה [לִ/רְא֖וֹת],7200,Genesis 2:23,laqach לָקַח [לֻֽקֳחָה],3947,4,3,False,,False,
Genesis,Genesis 3:6,ra'ah רָאָה [וַ/תֵּ֣רֶא],7200,Genesis 3:6,laqach לָקַח [וַ/תִּקַּ֥ח],3947,0,1,True,ta'avah תַּאֲוָה (Genesis 3:6) | chamad חָמַד (Genesis 3:6),False,
Genesis,Genesis 4:4,sha'ah שָׁעָה [וַ/יִּ֣שַׁע],8159,Genesis 3:23,laqach לָקַח [לֻקַּ֖ח],3947,5,3,False,,False,
Genesis,Genesis 6:2,ra'ah רָאָה [וַ/יִּרְא֤וּ],7200,Genesis 6:2,laqach לָקַח [וַ/יִּקְח֤וּ],3947,0,1,False,,False,
Genesis,Genesis 6:5,ra'ah רָאָה [וַ/יַּ֣רְא],7200,Genesis 6:2,laqach לָקַח [וַ/יִּקְח֤וּ],3947,3,3,False,,False,
Genesis,Genesis 7:1,ra'ah רָאָה [רָאִ֛יתִי],7200,Genesis 6:21,laqach לָקַח [קַח],3947,2,2,False,,False,
Genesis,Genesis 7:1,ra'ah רָאָה [רָאִ֛יתִי],7200,Genesis 7:2,laqach לָקַח [תִּֽקַּח],3947,1,2,False,,False,
Genesis,Genesis 8:5,ra'ah רָאָה [נִרְא֖וּ],7200,Genesis 8:9,laqach לָקַח [וַ/יִּקָּחֶ֔/הָ],3947,4,3,False,,False,
Genesis,Genesis 8:8,ra'ah רָאָה [לִ/רְאוֹת֙],7200,Genesis 8:9,laqach לָקַח [וַ/יִּקָּחֶ֔/הָ],3947,1,2,False,,False,
Genesis,Genesis 8:13,ra'ah רָאָה [וַ/יַּ֕רְא],7200,Genesis 8:9,laqach לָקַח [וַ/יִּקָּחֶ֔/הָ],3947,4,3,False,,False,
Genesis,Genesis 9:22,ra'ah רָאָה [וַ/יַּ֗רְא],7200,Genesis 9:23,laqach לָקַח [וַ/יִּקַּח֩],3947,1,2,False,,False,
Genesis,Genesis 9:23,ra'ah רָאָה [רָאֽוּ],7200,Genesis 9:23,laqach לָקַח [וַ/יִּקַּח֩],3947,0,1,False,,False,
Genesis,Genesis 12:1,ra'ah רָאָה [אַרְאֶֽ/ךָּ],7200,Genesis 11:29,laqach לָקַח [וַ/יִּקַּ֨ח],3947,4,3,False,,False,
Genesis,Genesis 12:1,ra'ah רָאָה [אַרְאֶֽ/ךָּ],7200,Genesis 11:31,laqach לָקַח [וַ/יִּקַּ֨ח],3947,2,2,False,,False,
Genesis,Genesis 12:1,ra'ah רָאָה [אַרְאֶֽ/ךָּ],7200,Genesis 12:5,laqach לָקַח [וַ/יִּקַּ֣ח],3947,4,3,False,,False,
Genesis,Genesis 12:7,ra'ah רָאָה [וַ/יֵּרָ֤א]; ra'ah רָאָה [הַ/נִּרְאֶ֥ה],"7200,7200",Genesis 12:5,laqach לָקַח [וַ/יִּקַּ֣ח],3947,2,2,False,,False,
Genesis,Genesis 12:12,ra'ah רָאָה [יִרְא֤וּ],7200,Genesis 12:15,laqach לָקַח [וַ/תֻּקַּ֥ח],3947,3,3,False,,False,
Genesis,Genesis 12:14,ra'ah רָאָה [וַ/יִּרְא֤וּ],7200,Genesis 12:15,laqach לָקַח [וַ/תֻּקַּ֥ח],3947,1,2,False,,False,
Genesis,Genesis 12:14,ra'ah רָאָה [וַ/יִּרְא֤וּ],7200,Genesis 12:19,laqach לָקַח [וָ/אֶקַּ֥ח]; laqach לָקַח [קַ֥ח],"3947,3947",5,3,False,,False,
Genesis,Genesis 12:15,ra'ah רָאָה [וַ/יִּרְא֤וּ],7200,Genesis 12:15,laqach לָקַח [וַ/תֻּקַּ֥ח],3947,0,1,False,,False,
Genesis,Genesis 12:15,ra'ah רָאָה [וַ/יִּרְא֤וּ],7200,Genesis 12:19,laqach לָקַח [וָ/אֶקַּ֥ח]; laqach לָקַח [קַ֥ח],"3947,3947",4,3,False,,False,
Genesis,Genesis 13:10,ra'ah רָאָה [וַ/יַּרְא֙],7200,Genesis 13:6,nasa נָשָׂא [נָשָׂ֥א],5375,4,3,False,,False,
Genesis,Genesis 13:10,ra'ah רָאָה [וַ/יַּרְא֙],7200,Genesis 13:10,nasa נָשָׂא [וַ/יִּשָּׂא],5375,0,1,False,,True,
Genesis,Genesis 13:14,ra'ah רָאָה [וּ/רְאֵ֔ה],7200,Genesis 13:10,nasa נָשָׂא [וַ/יִּשָּׂא],5375,4,3,False,,True,
Genesis,Genesis 13:15,ra'ah רָאָה [רֹאֶ֖ה],7200,Genesis 13:10,nasa נָשָׂא [וַ/יִּשָּׂא],5375,5,3,False,,True,
Genesis,Genesis 13:10,ra'ah רָאָה [וַ/יַּרְא֙],7200,Genesis 13:14,nasa נָשָׂא [שָׂ֣א],5375,4,3,False,,True,
Genesis,Genesis 13:14,ra'ah רָאָה [וּ/רְאֵ֔ה],7200,Genesis 13:14,nasa נָשָׂא [שָׂ֣א],5375,0,1,False,,True,
Genesis,Genesis 13:15,ra'ah רָאָה [רֹאֶ֖ה],7200,Genesis 13:14,nasa נָשָׂא [שָׂ֣א],5375,1,2,False,,True,
Genesis,Genesis 15:5,nabat נָבַט [הַבֶּט],5027,Genesis 14:24,laqach לָקַח [יִקְח֥וּ],3947,5,3,False,,False,
Genesis,Genesis 15:5,nabat נָבַט [הַבֶּט],5027,Genesis 15:9,laqach לָקַח [קְחָ֥/ה],3947,4,3,False,,False,
Genesis,Genesis 15:5,nabat נָבַט [הַבֶּט],5027,Genesis 15:10,laqach לָקַח [וַ/יִּֽקַּֽח],3947,5,3,False,,False,
Genesis,Genesis 16:4,ra'ah רָאָה [וַ/תֵּ֨רֶא֙],7200,Genesis 16:3,laqach לָקַח [וַ/תִּקַּ֞ח],3947,1,2,False,,False,
Genesis,Genesis 16:5,ra'ah רָאָה [וַ/תֵּ֨רֶא֙],7200,Genesis 16:3,laqach לָקַח [וַ/תִּקַּ֞ח],3947,2,2,False,,False,
Genesis,Genesis 18:1,ra'ah רָאָה [וַ/יֵּרָ֤א],7200,Genesis 17:23,laqach לָקַח [וַ/יִּקַּ֨ח],3947,5,3,False,,False,
